albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean,cpu_time,wall_time,cpu_time_kernel,wall_time_kernel
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,750,50,5,,hard,0.5989007106184571,2.25818099495552e-98,0.6812647150580302,2.357789365283898e-137,,,5.589383175974945,30.26922297477722,1.8931352799991146,28.945863962173462
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,750,100,5,,hard,0.6135130194283045,1.8727923993490693e-104,0.6245015683214673,3.0539277849846185e-109,,,6.753781345003517,28.702043294906616,1.9749377070111223,26.992992401123047
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6340157101882812,1.521034671833239e-113,0.7396861539847627,7.26071601106851e-174,,,5.966621079976903,29.759106397628784,1.8428289309958927,28.358317375183105
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,250,50,5,,hard,0.5958474154538933,3.8474352697466554e-97,0.6887712071091634,1.4735085563867497e-141,,,5.216732786007924,29.742652416229248,1.9318381600023713,28.56579303741455
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6144031739395727,7.792564937965023e-105,0.6211354846481211,9.369345580596215e-108,,,5.4291725140064955,25.500468254089355,1.7606960730045103,24.180694580078125
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6241016757209361,4.596751715750795e-109,0.7341901011242957,5.085639639472064e-170,,,6.750532648002263,29.28275179862976,2.2588857160008047,27.87184762954712
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,500,50,5,,hard,0.596255542157644,2.6383768499094787e-97,0.7016582620738026,4.398334951451976e-149,,,5.693736718996661,27.846509218215942,2.1273781979980413,26.49891471862793
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6118280074640492,9.77278295022721e-104,0.6248727727821847,2.0882155606728726e-109,,,5.081217786995694,26.235788822174072,1.7411854050005786,24.967615604400635
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,750,30,5,,hard,0.633196856610761,3.617439215017782e-113,0.7367568532093913,8.366198642289333e-172,,,5.297215294005582,29.361212015151978,1.8611388930003159,28.00188446044922
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,750,50,5,,hard,0.5989007106184571,2.25818099495552e-98,0.6812647150580302,2.357789365283898e-137,,,5.447995007009013,30.74605631828308,1.9724411130009685,29.4853298664093
