albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,750,50,5,,hard,0.3697278572458428,9.478093184124602e-34,,,0.5697857497411526,3.7906830619896803e-87,,0.5467004450821924
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,750,50,5,,hard,0.3979117753524238,2.7861783793156466e-39,,,0.8012294480147165,8.03317630945833e-225,0.7062074161593572,0.7654489077976417
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,750,100,5,,hard,0.3707759225138199,6.033917485650582e-34,,,0.600079792282123,7.49322076131284e-99,,0.7654489077976417
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,750,100,5,,hard,0.46559447327552184,6.042239788177427e-55,,,0.848649268433834,2.7928912780352493e-278,0.6623135534473077,0.7266428550956503
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,250,30,5,,hard,0.49704739427212086,1.618445228329262e-63,,,0.8088061009992014,2.445390662470954e-232,,0.7266428550956503
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,250,30,5,,hard,0.4846890286926935,4.8321341246858675e-60,,,0.8249002136437786,1.7518836111933577e-249,0.5860500035932257,0.6605570196534062
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,250,50,5,,hard,0.5210985601531212,1.055684807470996e-70,,,0.8260179814459908,9.722381669506102e-251,,0.6605570196534062
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,250,50,5,,hard,0.5123582379127226,5.029318695753901e-68,,,0.8356538730366785,5.965354511637352e-262,0.5711066878287803,0.6483535645621522
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,250,100,5,,hard,0.5425631535204511,1.274252351401732e-77,,,0.8726795920390039,5.81652264766e-313,,0.6483535645621522
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,250,100,5,,hard,0.5596772457197713,1.6577078063254275e-83,,,0.875671043510371,9.047844e-318,0.5687276606384573,0.6458645569690635
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,500,30,5,,hard,0.49606901658478636,3.086211395008031e-63,,,0.8080533314936232,1.4128995466522394e-231,,0.6458645569690635
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,500,30,5,,hard,0.4800548593112687,8.93243518155892e-59,,,0.824670328937902,3.1670561713285046e-249,0.5947210355889124,0.6675614111137121
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,500,50,5,,hard,0.5193670964987426,3.632915838238585e-70,,,0.8239338685276058,2.09864240289072e-248,,0.6675614111137121
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,500,50,5,,hard,0.5088496250850252,5.685929383473437e-67,,,0.8342580687036919,2.781633432260394e-260,0.5744816416426866,0.6512562389693508
