albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,30,palantir,250,30,,,,0.6383890078754632,1.4230410460613522e-115,,2.599299570495478e-191,,,,,0.762979674979675
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,30,,,,0.7785498584988936,3.857971973000592e-204,,1.1892136179597302e-193,,,0.17460292450342912,0.32987351520032476,0.7659123459123459,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,30,,,,0.7785280056919436,4.028030607241813e-204,,1.2446218401370328e-193,-0.7277214949124496,1.2911471265631276e-165,0.2678862886449417,0.4038046300051395,0.765887733887734,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,50,,,,0.784725208752424,1.60317410086372e-209,,1.2926699376535558e-196,,,0.2678862886449417,0.4038046300051395,0.7695665895665896,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,50,,,,0.7847153300284003,1.6358033255907226e-209,,1.418387167755922e-196,-0.718556725779102,1.3747303086210836e-159,0.28836528489491675,0.41966770033075484,0.7695173415173415,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,100,,,,0.793796540794649,9.306738026122625e-218,,8.089577257618027e-201,,,0.28836528489491675,0.41966770033075484,0.7746358506358507,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,250,100,,,,0.7938136364292266,8.971929156046521e-218,,6.3802632116916835e-201,-0.8184574384206703,2.0472667220416383e-242,0.23462377661904776,0.37752479907612524,0.7747585267585267,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,30,,,,0.7786604073442018,3.1013896182970253e-204,,1.1125440185464187e-193,,,0.23462377661904776,0.37752479907612524,0.765948357948358,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,30,,,,0.7786463436848267,3.1887455577627852e-204,,1.152453534591582e-193,-0.6399758397091325,2.563643073635013e-116,0.26442174218720405,0.40380698607979437,0.765929313929314,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,50,,,,0.7847708837597159,1.4605504337255531e-209,,2.798696230707231e-196,,,0.26442174218720405,0.40380698607979437,0.7691563331563332,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,50,,,,0.7847615900349812,1.4885067260049805e-209,,2.8935637371138524e-196,-0.671090255937212,7.467983064113297e-132,0.3064154812937237,0.436373109416237,0.7691386091386092,True
